title,url,keywords,result
NAVER,https://www.naver.com/,"[('naver', 2)]","[('NAVER', 'OL')]"
다른 듯 같은 북한 추석 풍경…씨름 최고 인기 : 네이버 뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=057&aid=0001381865,"[('듯', 2), ('북한', 2), ('추석', 2), ('풍경', 2), ('씨름', 2), ('최고', 2), ('인기', 2), ('네이버', 2), ('뉴스', 2)]","[('다르', 'VA'), ('ㄴ', 'ETD'), ('듯', 'NNB'), ('같', 'VA'), ('은', 'ETD'), ('북한', 'NNG'), ('추석', 'NNG'), ('풍경', 'NNG'), ('…', 'SE'), ('씨름', 'NNG'), ('최고', 'NNG'), ('인기', 'NNG'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
"""조국도 싫고 한국당도 싫어···20대, 정치 냉소주의 빠졌다"" : 네이버 뉴스",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002936909&date=20190914&type=1&rankingSeq=2&rankingSectionId=100,"[('조국', 2), ('한국', 2), ('20', 2), ('20대', 2), ('대', 2), ('정치', 2), ('냉소주의', 2), ('네이버', 2), ('뉴스', 2)]","[('""', 'SS'), ('조국', 'NNG'), ('도', 'JX'), ('싫', 'VA'), ('고', 'ECE'), ('한국', 'NNG'), ('당', 'XSN'), ('도', 'JX'), ('싫', 'VA'), ('어', 'ECD'), ('···', 'SW'), ('20', 'NR'), ('대', 'NNB'), (',', 'SP'), ('정치', 'NNG'), ('냉소주의', 'NNG'), ('빠지', 'VV'), ('었', 'EPT'), ('다', 'ECS'), ('""', 'SS'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
'3만톤급 한국형 경항공모함' 성능 어느정도일까 : 네이버 뉴스,https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=008&aid=0004277509&date=20190914&type=1&rankingSeq=9&rankingSectionId=100,"[('3', 2), ('3만톤급', 2), ('만', 2), ('톤', 2), ('급', 2), ('한국형', 2), ('경', 2), ('경항공모함', 2), ('항공', 2), ('모함', 2), ('성능', 2), ('정도', 2), ('네이버', 2), ('뉴스', 2)]","[(""'"", 'SS'), ('3', 'NR'), ('만', 'NR'), ('톤', 'NNG'), ('급', 'NNG'), ('한국형', 'NNG'), ('경', 'NNG'), ('항공', 'NNG'), ('모함', 'NNG'), (""'"", 'SS'), ('성능', 'NNG'), ('어느', 'MDT'), ('정도', 'NNG'), ('이', 'VCP'), ('ㄹ까', 'ECD'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
"애플 아이폰 공개 ""달라진 게 별로 없다"" : 네이버 뉴스",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004293413,"[('애플', 2), ('아이', 2), ('아이폰', 2), ('폰', 2), ('공개', 2), ('네이버', 2), ('뉴스', 2)]","[('애플', 'NNP'), ('아이', 'NNG'), ('폰', 'NNG'), ('공개', 'NNG'), ('""', 'SS'), ('달라지', 'VV'), ('ㄴ', 'ETD'), ('것', 'NNB'), ('이', 'JKS'), ('별로', 'MAG'), ('없', 'VA'), ('다', 'ECS'), ('""', 'SS'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
얼굴 합성 음란영상물·짤방 가능케한 검은 기술 : 네이버 뉴스,https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=008&aid=0004277511&date=20190914&type=1&rankingSeq=2&rankingSectionId=105,"[('얼굴', 2), ('합성', 2), ('음란', 2), ('음란영상물', 2), ('영상물', 2), ('방', 2), ('가능', 2), ('기술', 2), ('네이버', 2), ('뉴스', 2)]","[('얼굴', 'NNG'), ('합성', 'NNG'), ('음란', 'NNG'), ('영상물', 'NNG'), ('·', 'SP'), ('짜', 'VV'), ('ㄹ', 'ETD'), ('방', 'NNG'), ('가능', 'NNG'), ('하', 'XSV'), ('게', 'ECD'), ('하', 'VV'), ('ㄴ', 'ETD'), ('검', 'VA'), ('은', 'ETD'), ('기술', 'NNG'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
아이폰11 디자인에 “인덕션인가” “면도기인가” 혹평 : 네이버 뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004293264,"[('아이', 2), ('아이폰11', 2), ('폰', 2), ('11', 2), ('디자인', 2), ('인덕', 2), ('인덕션', 2), ('션', 2), ('면도기', 2), ('혹평', 2), ('네이버', 2), ('뉴스', 2)]","[('아이', 'NNG'), ('폰', 'NNG'), ('11', 'NR'), ('디자인', 'NNG'), ('에', 'JKM'), ('“', 'SS'), ('인덕', 'NNG'), ('션', 'UN'), ('이', 'VCP'), ('ㄴ가', 'ECS'), ('”', 'SS'), ('“', 'SS'), ('면도기', 'NNG'), ('이', 'VCP'), ('ㄴ가', 'ECS'), ('”', 'SS'), ('혹평', 'NNG'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
"추석연휴 피싱-스팸 급증..""문자 속 링크 누르지 마세요"" : 네이버 뉴스",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0004467966,"[('추석', 2), ('추석연휴', 2), ('연휴', 2), ('피', 2), ('피싱', 2), ('싱', 2), ('스팸', 2), ('급증', 2), ('문자', 2), ('속', 2), ('링크', 2), ('마세', 2), ('네이버', 2), ('뉴스', 2)]","[('추석', 'NNG'), ('연휴', 'NNG'), ('피', 'NNG'), ('싱', 'UN'), ('-', 'SW'), ('스팸', 'UN'), ('급증', 'NNG'), ('..', 'SW'), ('""', 'SS'), ('문자', 'NNG'), ('속', 'NNG'), ('링크', 'NNG'), ('누르', 'VV'), ('지', 'ECD'), ('마세', 'NNG'), ('요', 'JX'), ('""', 'SS'), (':', 'SP'), ('네이버', 'NNP'), ('뉴스', 'NNG')]"
겨울 스페인일주 :: 마드리드 & 세비야 여행.. : 네이버블로그,https://blog.naver.com/powerofguy2/221631359513,"[('겨울', 2), ('스페인', 2), ('스페인일주', 2), ('일주', 2), ('마', 2), ('세비야', 2), ('여행', 2), ('네이버', 2), ('로그', 2)]","[('겨울', 'NNG'), ('스페인', 'NNG'), ('일주', 'NNG'), ('::', 'SW'), ('마', 'NNG'), ('드리', 'MAG'), ('드', 'XPN'), ('&', 'SW'), ('세비야', 'NNG'), ('여행', 'NNG'), ('..', 'SW'), (':', 'SP'), ('네이버', 'NNP'), ('블', 'VV'), ('ㄹ', 'ETD'), ('로그', 'NNG')]"
:: 스페인 바로셀로나 여행 :: 겨울에 떠나.. : 네이버블로그,https://blog.naver.com/cjsxlawkd91/221645863401,"[('스페인', 2), ('셀로', 2), ('여행', 2), ('겨울', 2), ('네이버', 2), ('로그', 2)]","[('::', 'SW'), ('스페인', 'NNG'), ('바로', 'MAG'), ('셀로', 'NNG'), ('나', 'VV'), ('아', 'ECS'), ('여행', 'NNG'), ('::', 'SW'), ('겨울', 'NNG'), ('에', 'JKM'), ('떨', 'VV'), ('나', 'ECE'), ('..', 'SW'), (':', 'SP'), ('네이버', 'NNP'), ('블', 'VV'), ('ㄹ', 'ETD'), ('로그', 'NNG')]"
"스페인 여행 일정, 
바르셀로나에서 시작하는 
스페인 남부 여행! : 네이버 포스트",https://m.post.naver.com/viewer/postView.nhn?volumeNo=22251066&memberNo=8591454&vType=VERTICAL,"[('스페인', 2), ('여행', 2), ('일정', 2), ('바', 2), ('바르셀', 2), ('르', 2), ('셀', 2), ('나', 2), ('시작', 2), ('남부', 2), ('네이버', 2), ('포스트', 2)]","[('스페인', 'NNG'), ('여행', 'NNG'), ('일정', 'NNG'), (',', 'SP'), ('바', 'NNG'), ('르', 'NNG'), ('셀', 'NNG'), ('로', 'JKM'), ('나', 'NP'), ('에서', 'JKM'), ('시작', 'NNG'), ('하', 'XSV'), ('는', 'ETD'), ('스페인', 'NNG'), ('남부', 'NNG'), ('여행', 'NNG'), ('!', 'SF'), (':', 'SP'), ('네이버', 'NNP'), ('포스트', 'NNG')]"
